channel_id,title,subscriber_count,total_views,video_count,country,niche,channel_age_months,avg_views,median_views,std_views,total_video_views,avg_likes,total_likes,avg_comments,total_comments,avg_engagement_rate,median_engagement_rate,er_stability,videos_collected,view_stability,view_consistency,posts_per_week,subscriber_view_ratio,size_band,er_band,match_quality,roi_band
UCZrNVG1fJIgqYjv2YwumzKA,Dr Alex Howard,70500,4374051,640,GB,health,169.5,3910.2,2247.5,5211.7687341181045,117306,172.4,5172,18.1,543,0.062131391,0.064751686,0.022102986565283318,30,1.3325242212410782,0.5666666666666667,0.9905660377358491,0.055463043,micro,high,1,1
UCxh5nrF_F7x3iV9Oc9hYddg,Unfinished Apparel,67300,84481068,204,Unknown,health,0,80608.5,15963,265653.91238365264,2418255,1633.3333333333333,49000,10.666666666666666,320,0.021032723,0.02048702,0.007438283,30,3.295565812759695,0.2,4.038461538461538,1.1977310886911041,micro,medium,1,1
UCd_XOjIb81hCJyWux1pn4Mg,Psychlopaedia.org,66100,5930183,8,AU,health,108.86666666666666,741286.125,14260,1966089.4961762794,5930289,13892.25,111138,1296.75,10374,0.020194494,0.018297708480776803,0.007185955,8,2.652264459842439,0.125,0.078431373,10,micro,medium,1,1
UCuzO6brMrOG-aW74V2-f0wg,Micheline Maalouf,66000,16913349,375,US,health,95.5,27319.833333333332,18284,39779.299621166974,819595,975.6333333333333,29269,32.1,963,0.044057109,0.040743342,0.014308312970610916,30,1.4560060864846842,0.7,0.3690685413005272,0.41393059701115636,micro,medium,1,2
UCwHkqPt5s-FrG53n4nOUsvA,DARE,62700,8189362,347,IE,health,219.9,1541.6333333333334,1418.5,1229.6210933996429,46249,54.03333333333333,1621,4.3,129,0.041462107,0.040677896,0.013973365141502273,30,0.7970922621921235,0.8,1.5,0.024587061344050868,micro,medium,1,1
UC-9pWdV6crNUefhMOu-f6mA,Mind Core,62200,38344011,155,PL,health,0,368945.4666666667,37045.5,1766211.8373355805,11068364,14275.333333333334,428260,173.66666666666666,5210,0.057383445,0.059452334,0.010933936,30,4.787176452163468,0.033333333,1.044776119402985,5.931503780753793,micro,high,1,2
UCm_I6Xwqg5j3DjMNbKqs1mA,Buteyko Clinic International,61000,7248810,394,Unknown,health,220.23333333333332,976.3666666666667,767,760.1237414387546,29291,41.1,1233,3.2,96,0.054739355,0.04974099,0.028506210910917627,30,0.7777262795662712,0.7333333333333333,3.28125,0.016005748539641425,micro,high,1,2
UCrHgvBtSkKqoPLJ7T2kq1VA,Sporty Beth,60600,58687059,1041,GB,health,198.6,9772.733333333334,6303,10801.115698863237,293182,297.9,8937,8.3,249,0.037426800599948115,0.034370973,0.016047619,30,1.1051166765544969,0.5666666666666667,2.763157894736842,0.1612635655077199,micro,medium,1,1
UCtZ1DnVrDP_raNQp955XYvw,Psychologist Jayesh,59400,7289939,959,IN,health,171.03333333333333,4161.966666666666,2630.5,4946.001056118613,124859,39.733333333333334,1192,1.4333333333333333,43,0.01813194,0.014015997349330681,0.012277814720733386,30,1.1880952820789532,0.5333333333333333,4.468085106382978,0.070065599,micro,low,1,0
UCJzijIM4ED3ukn0GJRWZwhw,Mark Freeman,54900,7146483,531,CA,health,173.93333333333334,2169.1,1996,1113.2630308521293,65073,79.36666666666666,2381,11.9,357,0.044080074,0.038953397,0.022713902864626212,30,0.5130007975909541,0.9,0.9375,0.039509298555581863,micro,medium,1,1
UCrwYbQ77lPnKWdjIIh5iWCA,SchizoKitzo,54100,7929116,363,US,health,0,11670.8,9441,8892.565346477884,350124,1045.1,31353,87.43333333333334,2623,0.10681769613611097,0.11112956933277221,0.029953505764140274,30,0.7618846575916213,0.6,4.038461538461538,0.21572244505646845,micro,high,1,2
UC5PUzAUS4RZA-adPlZmk7OA,RENOVA Hospitals,53800,20288001,1694,IN,health,0,3042.9666666666667,1743.5,3555.459400777165,91289,44.166666666666664,1325,0.3333333333333333,10,0.014479994092910228,0.009322936,0.014963597018559595,30,1.1680349327447184,0.5333333333333333,11.666666666666666,0.056559667,micro,low,1,0
UCgTog8jKIbcUod_MwJ7fc8g,Joe Leech (MSc) - Gut Health & FODMAP Dietitian,52400,7675931,432,AU,health,166.36666666666667,3191.8,2274,2751.039620416879,95754,41.03333333333333,1231,8.566666666666666,257,0.018058382915703157,0.010923456781467764,0.016922333,30,0.8616385681586316,0.7333333333333333,4.2,0.060911051,micro,low,1,1
UCMoieoGtNZwqk91-y9SL7LA,Baby Cow,52300,38254973,734,GB,health,0,12774.5,7172,15238.067054878238,383235,205,6150,11.933333333333334,358,0.017763259,0.016458766,0.006563017,30,1.1927570001078813,0.5333333333333333,1.0344827586206897,0.24424963193820387,micro,low,1,1
UCReDWMUKq4qyUr7ZRcXMpRw,House of Medics,52300,34050462,556,GB,health,0,150863.26666666666,3018,770117.0922637824,4525898,1112.8666666666666,33386,8.3,249,0.01868003,0.016729978,0.007174784,30,5.104701791083171,0.1,1.6153846153846152,2.884519735122974,micro,low,1,1
UCmHQJaOerTsZJfOtiYz4sOg,Dr. Judith Joseph,52300,47735094,1414,US,health,0,22376.866666666665,6641.5,56200.28350445938,671306,1005.5,30165,16.366666666666667,491,0.050574823,0.047964092,0.020249355096634683,30,2.511422752740478,0.4,7.5,0.42784777856382605,micro,high,1,2
UCWXyVqHXtpJUJDgwh0aVHXg,NurseStudy Net,52100,3307440,571,US,health,136,488.1333333333333,437,189.32852916035395,14644,8.3,249,0.3333333333333333,10,0.018242005,0.016145463160388535,0.009843586,30,0.38706936587233326,0.9,16.153846153846153,0.009368982,micro,low,1,1
UCTXut4v0tk0eTA3KYUSK5_A,Therapist Aid,51100,6705604,17,Unknown,health,138.86666666666667,394467.4705882353,259492,500024.69440070126,6705947,3573.764705882353,60754,69.64705882,1184,0.009841497,0.009085463,0.002653134,17,1.2675910286443413,0.5294117647058824,0.028660886319845858,7.719368908401701,micro,low,0,1
UCxe5Wpl9uZkgKMFnvuK9RMw,Paige Pradko,51100,4085909,504,Unknown,health,110.16666666666667,1775.7,1791.5,582.8385445091267,53271,61.96666666666667,1859,2.5,75,0.037771954,0.036203304,0.012470015,30,0.3280455589064708,0.9666666666666667,2.9166666666666665,0.034748831,micro,medium,1,1
